Food,Category,SubCategory,Taste,Cravings,Healthiness
Apple turnover,Eat Less Of,Bakery (sweet),53.95,14.63,18.73
Brioche,Eat Less Of,Bakery (sweet),62.7,19.25,28.12
Chocolate chip brioche,Eat Less Of,Bakery (sweet),54.95,20.66,17.71
Croissant,Eat Less Of,Bakery (sweet),60.85,18.68,15.46
Almond croissant,Eat Less Of,Bakery (sweet),58.35,25.48,16.82
Vanilla danish,Eat Less Of,Bakery (sweet),61.8,23.8,11.93
Fruit danish,Eat Less Of,Bakery (sweet),57.32,20.88,9.98
Cinnamon whirl,Eat Less Of,Bakery (sweet),59.2,16.98,9.88
Maple & pecan plait,Eat Less Of,Bakery (sweet),57.13,17.05,11.51
Pain au raisin,Eat Less Of,Bakery (sweet),50.72,19.88,9.26
Pain au chocolat,Eat Less Of,Bakery (sweet),67.02,24.71,17.04
Belgian waffle,Eat Less Of,Bakery (sweet),55.36,15.34,10.52
Belgian bun,Eat Less Of,Bakery (sweet),66.61,21.66,6.15
Chelsea bun,Eat Less Of,Bakery (sweet),49.09,9.05,7.6
Iced finger bun,Eat Less Of,Bakery (sweet),51.25,12.59,9.75
Eccles cake,Eat Less Of,Bakery (sweet),26.07,7.19,14.24
Fruit loaf,Eat Less Of,Bakery (sweet),53.43,16.74,34.45
Teacake,Eat Less Of,Bakery (sweet),45.58,14.9,26.9
Fruit scone,Eat Less Of,Bakery (sweet),63.48,20.69,18.29
Plain scone,Eat Less Of,Bakery (sweet),53.88,16.39,27.1
Cheese scone,Eat Less Of,Bakery (sweet),54.58,13.02,22.14
Welsh cake,Eat Less Of,Bakery (sweet),39.33,8.52,19.24
Chocolate chip cookie,Eat Less Of,Bakery (sweet),76.88,38.52,14.48
Double chocolate cookie,Eat Less Of,Bakery (sweet),78.07,38.19,10.81
White chocolate cookie,Eat Less Of,Bakery (sweet),67.95,29.9,11.07
Oat & raisin cookie,Eat Less Of,Bakery (sweet),58.95,24.32,23.49
Sugared doughnut,Eat Less Of,Bakery (sweet),71.79,30.45,4.43
Glazed doughnut,Eat Less Of,Bakery (sweet),66.36,23.67,5.83
Jam doughnut,Eat Less Of,Bakery (sweet),75,29.36,5.05
Custard doughnut,Eat Less Of,Bakery (sweet),55.58,20.02,6.42
Chocolate iced doughnut,Eat Less Of,Bakery (sweet),65.2,22.85,5.45
Strawberry iced doughnut,Eat Less Of,Bakery (sweet),59.6,20.24,4.69
Gingerbread man,Eat Less Of,Bakery (sweet),58.66,19.59,22.46
Triple chocolate muffin,Eat Less Of,Bakery (sweet),71.12,31.59,11.41
