beautification,sexual_motivation,assertive_behavior
no,3.8,4.75
yes,1,3.5
no,1,2.75
no,3.4,1.75
no,1.4,5.5
no,2.8,2.75
no,1.4,2.5
no,2.8,4.25
yes,3,5.5
no,5.2,3
yes,3.2,6
yes,4.4,5.5
yes,2.6,2.25
no,2.4,2.5
yes,2.6,5.25
yes,3.8,4.5
yes,3.8,4.75
yes,4.6,6
no,3,5.75
yes,4,6.75
no,2.8,4.75
no,2.8,6.25
no,2.8,5.5
yes,2.6,4.75
no,2.2,5.75
yes,2.75,3.25
no,3.8,5.25
no,2.4,5.5
yes,4.4,6.75
no,3,4.25
no,1,4.5
yes,3.2,5
yes,5,6.25
no,1,2.75
yes,1.4,2.75
yes,4.666666667,4.5
no,1.8,3.5
no,5.25,4.25
no,2.8,5.25
yes,3.6,6.25
yes,5,4.75
no,2.2,5.25
no,1.4,6.75
no,3.2,5.25
no,2,4.25
yes,5,6
no,4,6
no,2.6,5.75
yes,2.8,2.75
no,3.5,5
no,1.8,4.5
yes,1.8,4
no,3,6.75
yes,4,4.75
no,3.8,4.75
yes,2.8,4
no,1.8,5.25
yes,2.2,6.5
no,1.75,4.25
no,3.6,2.75
yes,2.2,5.25
no,3.4,5.75
no,4.6,6.25
